question,answer,faithfulness,answer_relevancy
用人单位在哪些情形下应当向劳动者支付经济补偿？,有下列情形之一的，用人单位应当向劳动者支付经济补偿：（一）劳动者依照本法第三十八条规定解除劳动合同的；（二）用人单位依照本法第三十六条规定向劳动者提出解除劳动合同并与劳动者协商一致解除劳动合同的；（三）用人单位依照本法第四十条规定解除劳动合同的；（四）用人单位依照本法第四十一条第一款规定解除劳动合同的；（五）除用人单位维持或者提高劳动合同约定条件续订劳动合同，劳动者不同意续订的情形外，依照本法第四十四条第一项规定终止固定期限劳动合同的；（六）依照本法第四十四条第四项、第五项规定终止劳动合同的；（七）法律、行政法规规定的其他情形。,1.0,0.8879
经济补偿按什么标准计算？,经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。,0.7143,0.8284
如果劳动者工作年限为七个月，经济补偿应如何计算？,六个月以上不满一年的，按一年计算，所以七个月按一年计算，支付一个月工资的经济补偿。,0.5,0.8551
如果我的月工资高于当地上年度职工月平均工资的三倍，经济补偿的支付标准和年限有什么限制？,向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。,1.0,0.9146
经济补偿中的月工资是如何定义的？,本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,1.0,0.8813
如果用人单位违法解除或终止劳动合同，而劳动者不要求继续履行，用人单位应如何处理？,劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。,1.0,0.8444
用人单位在解除或终止劳动合同时，需要在多长时间内办理档案和社会保险关系转移手续？,用人单位应当在解除或者终止劳动合同时出具解除或者终止劳动合同的证明，并在十五日内为劳动者办理档案和社会保险关系转移手续。,1.0,0.9003
用人单位对已经解除或者终止的劳动合同的文本，至少保存多久？,至少保存二年备查。,1.0,0.91
集体合同草案应当提交什么机构讨论通过？,集体合同草案应当提交职工代表大会或者全体职工讨论通过。,1.0,0.9046
在县级以下区域内，哪些行业可以由工会与企业方面代表订立行业性集体合同？,建筑业、采矿业、餐饮服务业等行业。,1.0,0.8335
劳动行政部门自收到集体合同文本之日起多少日内未提出异议的，集体合同即行生效？,十五日内。,1.0,0.9293
集体合同中劳动报酬和劳动条件等标准不得低于什么标准？,不得低于当地人民政府规定的最低标准。,1.0,0.9448
用人单位与劳动者订立的劳动合同中劳动报酬和劳动条件等标准不得低于什么标准？,不得低于集体合同规定的标准。,1.0,0.9264
用人单位违反集体合同，侵犯职工劳动权益时，工会可以依法采取哪些措施？,工会可以依法要求用人单位承担责任；因履行集体合同发生争议，经协商解决不成的，工会可以依法申请仲裁、提起诉讼。,0.6667,0.9976
劳务派遣单位的注册资本不得少于多少？,不得少于五十万元。,1.0,0.9137
劳务派遣单位应当与被派遣劳动者订立多长期限的固定期限劳动合同？,二年以上。,1.0,0.951
劳务派遣协议中应当约定哪些内容？,劳务派遣协议应当约定派遣岗位和人员数量、派遣期限、劳动报酬和社会保险费的数额与支付方式以及违反协议的责任。,1.0,0.9377
用工单位能否将连续用工期限分割订立数个短期劳务派遣协议？,不能。用工单位应当根据工作岗位的实际需要与劳务派遣单位确定派遣期限，不得将连续用工期限分割订立数个短期劳务派遣协议。,1.0,0.9506
劳务派遣单位跨地区派遣劳动者时，被派遣劳动者的劳动报酬和劳动条件按什么标准执行？,按照用工单位所在地的标准执行。,1.0,0.9214
用工单位在哪些情况下需要支付加班费、绩效奖金？,用工单位应当支付加班费、绩效奖金，并提供与工作岗位相关的福利待遇，这是其法定义务之一。,1.0,0.9051
被派遣劳动者在什么情况下可以解除劳动合同？,被派遣劳动者可以依照本法第三十六条、第三十八条的规定与劳务派遣单位解除劳动合同。,0.4167,0.9424
劳务派遣一般在什么工作岗位上实施？,劳务派遣一般在临时性、辅助性或者替代性的工作岗位上实施。,1.0,0.8588
非全日制用工的劳动者平均每日工作时间不超过多少小时？,非全日制用工的劳动者在同一用人单位一般平均每日工作时间不超过四小时。,1.0,0.9015
用工单位能否将被派遣劳动者再派遣到其他用人单位？,不能，用工单位不得将被派遣劳动者再派遣到其他用人单位。,1.0,0.9482
非全日制用工的双方当事人可以订立口头协议吗？,可以，非全日制用工双方当事人可以订立口头协议。,1.0,0.9347
非全日制用工的劳动者可以与多个用人单位订立劳动合同吗？,可以，从事非全日制用工的劳动者可以与一个或者一个以上用人单位订立劳动合同；但是，后订立的劳动合同不得影响先订立的劳动合同的履行。,1.0,0.9613
非全日制用工的双方当事人可以约定试用期吗？,不可以，非全日制用工双方当事人不得约定试用期。,1.0,0.9006
非全日制用工终止用工时，用人单位需要支付经济补偿吗？,不需要，非全日制用工双方当事人任何一方都可以随时通知对方终止用工，终止用工时用人单位不向劳动者支付经济补偿。,1.0,0.932
劳动行政部门监督检查时，有权查阅哪些材料？,有权查阅与劳动合同、集体合同有关的材料。,1.0,0.842
劳动行政部门工作人员进行监督检查时，应当出示什么？,应当出示证件。,1.0,0.8402
劳动者合法权益受到侵害时，有哪些维权途径？,有权要求有关部门依法处理，或者依法申请仲裁、提起诉讼。,1.0,0.9624
县级以上人民政府哪些主管部门在各自职责范围内对用人单位执行劳动合同制度的情况进行监督管理？,建设、卫生、安全生产监督管理等有关主管部门。,1.0,0.928
如果用人单位制定的规章制度违反了法律法规，劳动行政部门会怎么处理？,由劳动行政部门责令改正，给予警告；给劳动者造成损害的，应当承担赔偿责任。,1.0,0.8024
劳动者合法权益受到侵害时，可以采取哪些途径维权？,有权要求有关部门依法处理，或者依法申请仲裁、提起诉讼。,1.0,0.9655
用人单位自用工之日起超过一个月不满一年未与劳动者订立书面劳动合同，需要承担什么责任？,应当向劳动者每月支付二倍的工资。,1.0,0.8402
工会对用人单位履行劳动合同、集体合同的情况有什么监督权利？,工会依法维护劳动者的合法权益，对用人单位履行劳动合同、集体合同的情况进行监督。用人单位违反劳动法律、法规和劳动合同、集体合同的，工会有权提出意见或者要求纠正；劳动者申请仲裁、提起诉讼的，工会依法给予支持和帮助。,1.0,0.953
如果公司在我入职后超过一个月但不满一年没有和我签书面劳动合同，我应该得到什么补偿？,用人单位自用工之日起超过一个月不满一年未与劳动者订立书面劳动合同的，应当向劳动者每月支付二倍的工资。,0.8,0.8366
公司违法约定试用期，并且我已经履行了超过法定试用期的部分，赔偿金怎么算？,违法约定的试用期已经履行的，由用人单位以劳动者试用期满月工资为标准，按已经履行的超过法定试用期的期间向劳动者支付赔偿金。,1.0,0.8833
公司扣押我的身份证件，会有什么后果？,用人单位违反本法规定，扣押劳动者居民身份证等证件的，由劳动行政部门责令限期退还劳动者本人，并依照有关法律规定给予处罚。,1.0,0.767
公司以担保名义向我收取财物，会面临什么处罚？,用人单位违反本法规定，以担保或者其他名义向劳动者收取财物的，由劳动行政部门责令限期退还劳动者本人，并以每人五百元以上二千元以下的标准处以罚款；给劳动者造成损害的，应当承担赔偿责任。,1.0,0.685
如果用人单位扣押我的档案，会有什么法律后果？,劳动者依法解除或者终止劳动合同，用人单位扣押劳动者档案或者其他物品的，依照前款规定处罚。,0.75,0.8459
用人单位未及时足额支付劳动报酬，劳动行政部门会如何处理？,由劳动行政部门责令限期支付劳动报酬、加班费或者经济补偿；劳动报酬低于当地最低工资标准的，应当支付其差额部分；逾期不支付的，责令用人单位按应付金额百分之五十以上百分之一百以下的标准向劳动者加付赔偿金。,1.0,0.9309
如果劳动合同被确认无效并给对方造成损害，谁应承担赔偿责任？,劳动合同依照本法第二十六条规定被确认无效，给对方造成损害的，有过错的一方应当承担赔偿责任。,1.0,0.9156
